nodeID,tag,title,category
C1-S1,[Cat=FLLT;Sub=LandlordAddress],Failure to Disclose Proper Landlord/Address Information,Florida Landlord-Tenant Statutory Violations
C5-S6,[Cat=PersonalProp;Sub=ForcedAbandonment],Willful Communication Cutoff & Attempted Forced Abandonment,Security Deposit and Personal Property Claims
C6-S1,[Cat=Negligence;Sub=Security],Negligent Security (Home Invasion Incident),Negligence or Premises Liability
C6-S2,[Cat=Negligence;Sub=Maintenance],General Negligent Maintenance,Negligence or Premises Liability
C6-S3,[Cat=Negligence;Sub=PerSe],Negligence Per Se (Violation of Building Codes),Negligence or Premises Liability
C6-S4,[Cat=Negligence;Sub=EmotionalDistress],Negligent Infliction of Emotional Distress (Security Breach & PTSD),Negligence and Safety Claims
C6-S5,[Cat=Negligence;Sub=KitchenPlumbing],Plumbing Maintenance Failures (Kitchen Sink),Negligence and Safety Claims
C6-S6,[Cat=Negligence;Sub=SupervisoryNeglect],Negligent Supervision of Property Management,Negligence and Safety Claims
C7-S1,[Cat=Realtor;Sub=NegligentMisrep],Breach of Professional Duty / Negligent Misrepresentation,Realtor and Brokerage Liability
C7-S2,[Cat=Realtor;Sub=ConflictInterest],Conflict of Interest and Unfair Dealing,Realtor and Brokerage Liability
C7-S3,[Cat=Realtor;Sub=BrokerageSupervision],Lack of Adequate Supervision by Brokerage,Realtor and Brokerage Liability
C7-S4,[Cat=Realtor;Sub=PTSDDisclosure],Failure to Communicate Tenant’s Mental Health Information (PTSD),Realtor and Brokerage Liability
C7-S5,[Cat=Realtor;Sub=NARViolation],Potential Code of Ethics Violation (Offering “Professional Opinions” Outside Expertise),Realtor and Brokerage Liability
C7-S6,[Cat=Realtor;Sub=ZillowOmission],Omission/Manipulation of Zillow Listing Data,Realtor and Brokerage Liability
C8-S1,[Cat=Defenses;Sub=UnjustEnrichment],Unjust Enrichment,Additional or Overarching Theories and Defenses
C8-S2,[Cat=Defenses;Sub=OffsetSetoff],Offset / Setoff Against Landlord Claims,Additional or Overarching Theories and Defenses
C8-S3,[Cat=Defenses;Sub=DecJudgmentVoidLease],Declaratory Judgment (Lease Void / Unenforceable),Additional or Overarching Theories and Defenses
C8-S4,[Cat=Defenses;Sub=AttnyFees],Attorney’s Fees & Costs,Additional or Overarching Theories and Defenses
C8-S5,[Cat=Ethics;Sub=PhoneIntimidation],Coercive Phone Call Demands / Harassment Communications,Ethics and Professional Misconduct
C8-S6,[Cat=Ethics;Sub=ViolationsDuringSuit],Ongoing Violations During Legal Proceedings,Ethics and Professional Misconduct
C9-S1,[Cat=Emotional;Sub=Harassment],Harassment / Repeated Communications Causing Emotional Distress,Harassment and Emotional Distress Claims
C9-S2,[Cat=Emotional;Sub=InterfereProp],Emotional Distress from Interference with Personal Property,Harassment and Emotional Distress Claims
C9-S3,[Cat=Emotional;Sub=InactionAfterHomeInvasion],Emotional Distress for Landlord’s Inaction Post–Home Invasion,Harassment and Emotional Distress Claims
C9-S4,[Cat=Emotional;Sub=RentalTruckObstruction],Additional Financial & Emotional Harm from Wasted Rental Truck & Obstructed Plans,Harassment and Emotional Distress Claims
